GENESIS-Tabelle: 33111-001r-2015
Fläche: Gemeinden, Fläche (ALKIS), Art der tatsächlichen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nutzung (nach ALKIS-Nutzungsarten), Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(ab 2015);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.12.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten)
09172129;      Ramsau b.Berchtesgaden;12917,41;29,80;5,72;9,19;0,29;0,00;-;-;-;32,88;1,98;2,00;0,23;2,66;1,21;0,66;48,59;55,42;4,86;-;-;-;-;885,73;-;-;-;5665,36;1013,02;-;2,44;0,30;5101,53;31,07;-;22,47
09172130;      Saaldorf-Surheim;3909,73;106,88;21,83;9,99;0,34;2,68;-;-;20,00;88,82;4,08;7,99;0,01;1,60;2,36;0,79;84,09;52,55;1,29;14,09;-;-;921,34;1481,28;-;-;-;868,71;30,80;-;-;2,16;28,26;69,81;-;87,97
09172131;      Schneizlreuth;10727,81;31,74;15,46;1,70;0,94;0,44;-;-;13,65;21,94;21,71;4,44;1,09;0,03;0,16;0,25;71,18;84,04;1,55;-;-;-;-;516,46;-;-;-;8187,69;546,94;-;-;-;1059,04;96,93;-;50,44
09172132;      Schönau a.Königssee;13161,93;123,84;6,82;25,29;1,35;0,24;-;-;0,69;44,34;11,69;7,24;1,23;6,93;1,92;4,74;58,46;38,85;7,92;-;-;-;-;1129,43;-;-;-;5315,36;732,32;0,10;-;2,57;5024,14;22,41;-;594,02
09172134;      Teisendorf, M;8675,71;158,38;35,20;9,02;17,91;0,96;3,37;-;3,92;198,29;7,56;13,86;0,01;4,20;2,13;1,96;192,11;117,26;1,54;38,28;-;-;977,69;3827,76;-;-;-;2891,50;51,51;-;6,95;2,51;42,26;55,54;-;14,01
09172444;      Gemeindefreie Gebiete;2960,83;-;-;0,23;0,04;-;-;-;-;2,06;-;-;-;-;-;-;34,18;15,28;0,43;-;-;-;-;93,26;-;-;-;1948,72;183,00;-;-;-;661,87;21,74;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);111067,15;2158,06;406,09;154,34;29,30;40,97;0,07;-;150,78;1067,52;220,87;340,21;33,03;124,70;62,30;34,74;1345,31;1154,59;62,97;63,90;28,01;-;2089,85;29613,36;7,51;-;5,66;59478,74;2086,41;212,99;2226,51;109,97;3567,96;1310,41;-;2880,00
09173111;      Bad Heilbrunn;4031,63;81,73;6,13;6,45;0,55;0,09;-;-;-;48,96;6,55;5,16;-;1,85;4,09;0,84;51,25;37,49;0,97;-;-;-;15,69;1605,33;-;-;0,56;1761,52;94,69;-;172,35;15,06;52,06;51,04;-;11,18
09173112;      Bad Tölz, St;3080,09;227,88;39,28;27,74;5,80;4,38;-;-;0,13;52,52;42,54;29,23;0,28;7,80;11,30;6,18;108,37;33,06;10,35;8,29;-;-;2,89;1074,01;-;-;-;1064,13;62,77;-;121,09;11,56;40,99;78,22;-;9,31
09173113;      Benediktbeuern;3787,36;65,40;6,42;3,33;0,22;0,15;-;-;-;24,57;16,03;3,67;-;0,77;0,88;0,93;20,75;39,59;1,35;2,73;0,23;-;4,49;1134,10;-;-;-;1932,58;88,46;-;270,49;5,03;119,37;38,97;-;6,89
