GENESIS-Tabelle: 13111-001;;;;;;;
Sozialversicherungspflichtig Beschäftigte: Gemeinden,;;;;;;;
Beschäftigte am Arbeitsort/Beschäftigte am Wohnort,;;;;;;;
Stichtag (letzte 6);;;;;;;
Beschäftigungsstatistik;;;;;;;
;;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort
;;30.06.2011;30.06.2012;30.06.2013;30.06.2014;30.06.2015;30.06.2016
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09773139;      Höchstädt a.d.Donau, St;1873;1948;2047;2076;2189;2229
09773140;      Holzheim;460;464;467;510;510;520
09773143;      Laugna;151;153;161;169;188;194
09773144;      Lauingen (Donau), St;3168;3302;3250;3358;3499;3488
09773146;      Lutzingen;50;41;43;39;44;40
09773147;      Mödingen;125;127;139;142;156;158
09773150;      Finningen;176;187;202;213;209;212
09773153;      Medlingen;36;.;37;38;35;37
09773164;      Schwenningen;90;93;99;101;98;102
09773170;      Syrgenstein;341;361;367;373;331;344
09773179;      Villenbach;46;40;65;75;94;80
09773182;      Wertingen, St;4489;4585;4717;4830;4982;4767
09773183;      Wittislingen, M;411;415;420;405;298;309
09773186;      Ziertheim;103;114;112;114;115;115
09773187;      Zöschingen;88;.;94;102;111;109
09773188;      Zusamaltheim;109;113;111;107;124;124
09774;    Günzburg (Lkr);45286;45861;46476;47882;48297;49429
09774111;      Aletshausen;153;152;143;152;146;139
09774115;      Balzhausen;296;337;331;344;351;375
09774116;      Ursberg;3498;3588;3589;3693;3748;3835
09774117;      Breitenthal;109;94;94;92;98;102
09774118;      Bubesheim;357;356;365;371;369;401
09774119;      Bibertal;425;453;466;462;476;503
09774121;      Burgau, St;3829;3950;4055;4397;4264;4463
09774122;      Burtenbach, M;1099;1121;1137;1142;1112;1136
09774124;      Deisenhausen;212;175;179;191;203;217
09774127;      Dürrlauingen;773;679;650;588;556;557
09774129;      Ebershausen;35;40;39;40;37;.
09774133;      Ellzee;58;62;68;105;124;119
09774135;      Günzburg, GKSt;11769;11936;12064;12406;12337;12652
09774136;      Gundremmingen;1542;1413;1441;1377;1320;1235
09774140;      Haldenwang;141;159;175;189;209;195
09774143;      Ichenhausen, St;2408;2452;2503;2571;2655;2765
09774144;      Jettingen-Scheppach, M;2523;2623;2778;2911;2961;3047
09774145;      Kammeltal;374;367;366;370;387;407
09774148;      Kötz;1124;1195;1217;1212;1246;1247
09774150;      Krumbach (Schwaben), St;5405;5378;5257;5344;5506;5662
09774151;      Landensberg;32;38;38;67;81;.
09774155;      Leipheim, St;2910;2969;3036;3169;3328;3310
09774160;      Münsterhausen, M;255;228;230;200;203;205
09774162;      Neuburg a.d.Kammel, M;714;734;825;863;861;879
09774166;      Aichen;93;102;116;150;173;180
09774171;      Offingen, M;1138;1187;1199;1245;1288;1298
09774174;      Rettenbach;307;325;310;318;.;340
09774178;      Röfingen;181;190;205;212;199;216
09774185;      Thannhausen, St;2073;2079;2159;2280;2306;2328
09774189;      Wiesenbach;108;110;112;117;113;114
09774191;      Waldstetten, M;263;274;318;273;281;285
09774192;      Waltenhausen;19;20;14;23;.;34
09774196;      Winterbach;62;64;45;46;51;52
09774198;      Ziemetshausen, M;1001;1011;952;962;947;994
09774444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09775;    Neu-Ulm (Lkr);55462;57218;57881;59676;60841;61794
09775111;      Altenstadt, M;1029;1085;1153;1219;1260;1322
09775115;      Bellenberg;969;984;996;1087;1037;1078
09775118;      Buch, M;665;695;715;769;817;904
09775126;      Holzheim;89;102;101;114;137;122
09775129;      Illertissen, St;5960;6176;6627;6737;6893;7058
09775132;      Kellmünz a.d.Iller, M;400;470;101;99;99;97
09775134;      Nersingen;1411;1440;1566;1483;1529;1544
09775135;      Neu-Ulm, GKSt;24197;24662;25031;26098;26522;27210
09775139;      Elchingen;4179;4537;4187;4142;4118;4124
09775141;      Oberroth;22;18;19;21;23;26
09775142;      Osterberg;55;54;54;49;50;48
09775143;      Pfaffenhofen a.d.Roth, M;939;982;1003;1083;1129;861
09775149;      Roggenburg;262;267;283;281;293;309
09775152;      Senden, St;5295;5420;5625;5897;6100;6044
09775161;      Unterroth;109;56;59;66;60;69
09775162;      Vöhringen, St;4349;4389;4457;4627;4692;4700
09775164;      Weißenhorn, St;5532;5881;5904;5904;6082;6278
09775444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09776;    Lindau (Bodensee) (Lkr);27189;28075;28515;29284;29829;30581
09776111;      Bodolz;182;189;194;205;203;194
09776112;      Gestratz;140;142;143;146;136;135
09776113;      Grünenbach;196;193;189;190;196;214
09776114;      Heimenkirch, M;1385;1467;1510;1582;1628;1660
09776115;      Hergensweiler;527;566;566;562;571;557
09776116;      Lindau (Bodensee), GKSt;11556;11845;12040;12308;12422;12626
09776117;      Lindenberg i.Allgäu, St;5775;5978;5958;6066;6253;6520
09776118;      Maierhöfen;355;364;373;375;383;396
09776120;      Nonnenhorn;228;239;263;280;281;280
09776121;      Oberreute;128;127;138;132;106;118
09776122;      Opfenbach;561;571;604;641;641;661
09776124;      Röthenbach (Allgäu);617;631;625;680;711;713
09776125;      Scheidegg, M;1279;1368;1414;1456;1508;1530
09776126;      Sigmarszell;391;410;367;369;385;411
09776127;      Stiefenhofen;210;217;226;234;259;282
09776128;      Wasserburg (Bodensee);825;835;908;967;993;999
09776129;      Weiler-Simmerberg, M;2021;2079;2071;2133;2169;2259
09776130;      Weißensberg;514;572;626;656;679;717
09776131;      Hergatz;299;282;300;302;305;309
09777;    Ostallgäu (Lkr);39916;41812;43218;44313;44896;45659
09777111;      Aitrang;284;265;274;292;294;302
09777112;      Biessenhofen;1476;1530;1597;1629;1695;1711
09777114;      Baisweil;76;86;83;91;102;113
09777118;      Bidingen;132;134;122;122;117;127
09777121;      Buchloe, St;3699;3906;3936;4245;4169;4290
09777124;      Eggenthal;217;227;247;246;244;244
09777125;      Eisenberg;178;184;200;275;269;258
09777128;      Friesenried;118;108;125;123;142;171
09777129;      Füssen, St;5653;6198;6560;6847;7085;7165
09777130;      Germaringen;603;587;577;660;668;660
09777131;      Görisried;194;190;194;206;220;236
09777135;      Hopferau;252;253;269;202;198;205
09777138;      Günzach;359;369;382;384;392;388
09777139;      Irsee, M;183;191;189;200;194;204
09777140;      Jengen;225;247;244;223;228;225
09777141;      Kaltental, M;163;188;190;182;193;202
09777144;      Kraftisried;232;209;214;198;208;217
09777145;      Lamerdingen;197;197;196;220;240;253
09777147;      Lechbruck am See;699;726;753;788;804;829
09777149;      Lengenwang;341;347;359;385;394;412
09777151;      Marktoberdorf, St;8489;9016;9349;9395;9340;9469
09777152;      Mauerstetten;1820;1855;1895;1975;2006;1859
09777153;      Nesselwang, M;1280;1315;1401;1352;1383;1419
09777154;      Obergünzburg, M;1195;1143;1157;1115;1131;1173
09777155;      Oberostendorf;213;234;235;242;256;256
09777157;      Osterzell;50;62;63;65;70;83
09777158;      Pforzen;263;269;267;301;330;345
09777159;      Pfronten;3472;3642;3702;3694;3695;3778
09777163;      Rieden am Forggensee;605;662;696;766;798;801
09777164;      Rieden;112;116;110;110;114;126
09777165;      Ronsberg, M;1238;1238;1306;1333;1340;1384
09777166;      Roßhaupten;413;417;441;485;462;450
09777167;      Ruderatshofen;310;316;340;364;372;381
09777168;      Rückholz;126;130;190;220;278;287
09777169;      Schwangau;1283;1441;1474;1479;1524;1558
09777170;      Seeg;523;535;491;522;519;547
09777171;      Stötten a.Auerberg;145;149;165;167;175;172
09777172;      Stöttwang;162;150;170;181;186;172
09777173;      Halblech;1269;1264;1290;1229;1255;1248
09777175;      Unterthingau, M;492;495;488;488;534;542
09777176;      Untrasried;133;141;135;136;150;159
09777177;      Waal, M;360;366;394;392;321;346
09777179;      Wald;103;110;109;122;137;146
09777182;      Westendorf;313;326;335;346;355;417
09777183;      Rettenbach a.Auerberg;266;278;304;316;309;329
09778;    Unterallgäu (Lkr);41713;41626;42762;44244;45628;47241
09778111;      Amberg;82;104;108;115;105;80
09778113;      Apfeltrach;79;95;93;73;77;73
09778115;      Babenhausen, M;2164;2186;2223;2253;2315;2336
09778116;      Bad Wörishofen, St;5114;5078;5079;5729;5810;5806
09778118;      Benningen;643;643;642;702;708;725
09778119;      Böhen;107;106;106;109;113;111
09778120;      Boos;.;200;226;206;203;216
09778121;      Breitenbrunn;200;208;210;231;218;222
09778123;      Buxheim;788;734;733;757;760;778
09778127;      Dirlewang, M;247;241;254;293;278;303
09778130;      Egg a.d.Günz;164;171;178;177;187;185
09778134;      Eppishausen;752;786;831;248;237;257
09778136;      Erkheim, M;1006;1050;1110;1059;1180;1249
09778137;      Ettringen;975;864;780;737;821;839
09778139;      Fellheim;206;186;208;215;225;225
09778144;      Bad Grönenbach, M;1687;1768;1799;1902;1895;2005
09778149;      Hawangen;650;652;686;692;700;730
09778150;      Heimertingen;785;754;768;814;787;841
09778151;      Holzgünz;139;144;142;268;269;283
09778157;      Kirchhaslach;130;126;131;132;130;139
09778158;      Kirchheim i.Schw., M;1036;1091;1099;1146;1169;1174
09778161;      Kronburg;213;220;209;214;218;239
09778162;      Lachen;108;129;131;130;127;131
09778163;      Lauben;91;99;103;112;115;126
09778164;      Lautrach;602;625;624;622;640;661
09778165;      Legau, M;863;864;897;954;982;1060
09778168;      Markt Rettenbach, M;410;458;474;494;502;510
09778169;      Markt Wald, M;268;282;269;259;258;260
09778171;      Memmingerberg;490;498;529;559;578;630
09778173;      Mindelheim, St;8664;9031;9458;9834;10295;10696
09778177;      Niederrieden;59;55;63;72;82;83
09778180;      Kammlach;222;221;212;235;248;255
09778183;      Oberrieden;46;.;.;.;.;46
09778184;      Oberschönegg;.;.;.;.;.;.
09778186;      Ottobeuren, M;2111;2155;2293;2425;2532;2563
09778187;      Pfaffenhausen, M;1480;1464;1434;1421;1413;1478
09778188;      Pleß;63;74;78;86;87;77
09778190;      Salgen;219;228;244;265;289;280
09778196;      Sontheim;228;228;238;235;238;252
09778199;      Stetten;276;340;352;355;352;353
09778202;      Trunkelsberg;59;61;51;48;57;.
09778203;      Türkheim, M;2364;2435;2405;2498;2595;2687
09778204;      Tussenhausen, M;402;416;467;489;555;619
09778205;      Ungerhausen;232;214;229;223;314;323
09778207;      Unteregg;95;113;115;120;119;125
09778209;      Rammingen;153;160;180;170;163;283
09778214;      Westerheim;272;296;293;290;322;298
09778216;      Wiedergeltingen;321;316;317;348;334;357
09778217;      Winterrieden;93;91;95;96;109;108
09778218;      Wolfertschwenden;2077;2174;2369;2539;2616;2767
09778219;      Woringen;529;551;555;594;584;631
09778221;      Kettershausen;100;104;103;96;95;95
09778444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09779;    Donau-Ries (Lkr);53856;54863;56158;58191;59304;59438
09779111;      Alerheim;311;328;326;342;362;342
09779112;      Amerdingen;112;126;134;131;119;130
09779115;      Asbach-Bäumenheim;4078;3299;2987;3009;3084;3056
09779117;      Auhausen;144;154;177;171;182;197
09779126;      Buchdorf;498;505;524;558;573;562
09779129;      Daiting;.;13;13;14;15;16
09779130;      Deiningen;383;361;393;416;415;449
09779131;      Donauwörth, GKSt;14352;15250;16027;16968;17247;17537
09779136;      Ederheim;158;165;170;171;184;178
09779138;      Ehingen a.Ries;42;39;42;46;47;43
09779146;      Forheim;54;61;63;64;71;75
09779147;      Fremdingen;454;467;482;502;531;542
09779148;      Fünfstetten;53;57;52;58;63;65
09779149;      Genderkingen;270;266;280;303;320;328
09779154;      Hainsfarth;106;115;114;118;116;119
09779155;      Harburg (Schwaben), St;846;870;902;927;930;953
09779162;      Hohenaltheim;54;48;55;54;56;59
09779163;      Holzheim;367;384;408;472;552;582
09779167;      Huisheim;100;89;84;81;79;85
09779169;      Kaisheim, M;341;333;349;389;413;420
09779176;      Maihingen;129;130;127;137;139;146
09779177;      Marktoffingen;66;73;69;74;68;70
09779178;      Marxheim;906;902;918;966;990;1066
09779180;      Megesheim;46;50;56;57;60;47
09779181;      Mertingen;2576;2579;2620;2805;2875;2928
09779184;      Mönchsdeggingen;98;99;97;99;104;100
09779185;      Möttingen;326;337;355;406;412;426
09779186;      Monheim, St;2665;2768;2843;2837;2921;2950
09779187;      Münster;212;241;292;323;399;397
09779188;      Munningen;244;262;307;309;294;317
09779192;      Niederschönenfeld;61;62;62;58;67;71
09779194;      Nördlingen, GKSt;11918;12304;12569;12780;12823;12296
09779196;      Oberndorf a.Lech;358;394;424;473;483;528
09779197;      Oettingen i.Bay., St;2635;2722;2739;2841;2930;2926
09779198;      Otting;.;32;28;33;33;38
09779201;      Rain, St;3534;3580;3669;3722;3806;3862
09779203;      Reimlingen;136;126;118;121;120;122
09779206;      Rögling;33;34;32;35;36;34
09779217;      Tagmersheim;161;163;170;169;178;189
09779218;      Tapfheim;403;387;384;401;381;408
09779224;      Wallerstein, M;961;999;999;961;921;808
09779226;      Wechingen;208;232;234;235;248;268
09779228;      Wemding, St;3367;3406;3409;3497;3600;3639
09779231;      Wolferstadt;49;51;55;58;57;64
09779444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09780;    Oberallgäu (Lkr);42285;43419;44505;45500;47058;48545
09780112;      Altusried, M;1626;1717;1704;1820;1860;1890
09780113;      Balderschwang;133;149;149;191;207;202
09780114;      Betzigau;643;588;562;547;555;540
09780115;      Blaichach;1410;1458;1507;1658;1853;1882
09780116;      Bolsterlang;153;139;137;143;148;145
09780117;      Buchenberg, M;545;583;546;542;554;552
09780118;      Burgberg i.Allgäu;474;468;504;536;547;593
09780119;      Dietmannsried, M;1370;1434;1675;1919;2157;2369
09780120;      Durach;1942;1951;1798;1821;1899;1982
09780121;      Fischen i.Allgäu;670;675;725;746;771;778
09780122;      Haldenwang;1063;1107;1150;1157;1211;1307
09780123;      Bad Hindelang, M;1501;1608;1755;1777;1852;1873
09780124;      Immenstadt i.Allgäu, St;7642;7917;8015;7892;7846;8136
09780125;      Lauben;914;949;970;966;1030;1095
09780127;      Missen-Wilhams;152;155;203;181;166;178
09780128;      Oy-Mittelberg;931;918;941;969;990;1042
09780131;      Obermaiselstein;230;238;243;241;257;274
09780132;      Oberstaufen, M;2842;2801;2933;2920;2859;2820
09780133;      Oberstdorf, M;4169;4343;4452;4531;4746;4901
09780134;      Ofterschwang;734;739;770;790;820;811
09780137;      Rettenberg;555;558;589;612;626;651
09780139;      Sonthofen, St;6812;7017;7088;7152;7309;7510
09780140;      Sulzberg, M;1007;1047;1077;1110;1140;1212
09780143;      Waltenhofen;1739;1703;1752;1808;1911;2015
09780144;      Weitnau, M;667;694;695;708;721;744
09780145;      Wertach, M;576;608;612;631;649;685
09780146;      Wiggensbach, M;1445;1505;1569;1707;1854;1757
09780147;      Wildpoldsried;340;350;384;425;520;601
09780444;      Gemeindefreie Gebiete;-;-;-;-;-;-
# _____;;;;;;;
# Quelle: Bundesagentur für Arbeit;;;;;;;
# ;;;;;;;
# Ab 2008: Revidierte Werte;;;;;;;
# ;;;;;;;
# 2016: vorläufige Ergebnisse;;;;;;;
# ;;;;;;;
# ;;;;;;;
# Allgemeiner Hinweis zur Beschäfigungsstatistik:;;;;;;;
# -----------------------------------------------;;;;;;;
# Bei den Summen für 'Beschäftigte insgesamt', 'Beschäftigte;;;;;;;
# nach Geschlecht', 'Beschäftigte nach Altersgruppen',;;;;;;;
# 'Beschäftigte nach Ausbildung' und 'Beschäftigte nach;;;;;;;
# Beschäftigungsumfang' sind die Fälle 'keine Angabe';;;;;;;
# enthalten.;;;;;;;
# Beim Merkmal 'Nationalität' hingegegen sind die Fälle 'keine;;;;;;;
# Angabe' nicht enthalten.;;;;;;;
# _____;;;;;;;
# (C)opyright 2018 Bayerisches Landesamt für Statistik;;;;;;;
# Stand: 22.02.2018 - 22:13:38;;;;;;;
