GENESIS-Tabelle: 13111-001;;;;;;;
Sozialversicherungspflichtig Beschäftigte: Gemeinden,;;;;;;;
Beschäftigte am Arbeitsort/Beschäftigte am Wohnort,;;;;;;;
Stichtag (letzte 6);;;;;;;
Beschäftigungsstatistik;;;;;;;
;;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort
;;30.06.2011;30.06.2012;30.06.2013;30.06.2014;30.06.2015;30.06.2016
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09181140;      Schwifting;35;35;30;32;36;37
09181141;      Pürgen;515;538;556;579;611;665
09181142;      Thaining;124;153;141;151;173;227
09181143;      Unterdießen;137;121;117;114;124;126
09181144;      Utting am Ammersee;1397;1489;1495;1458;1377;1444
09181145;      Weil;275;284;294;298;305;321
09181146;      Windach;792;834;905;967;977;1025
09181444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09182;    Miesbach (Lkr);29292;29996;31005;32133;33152;33859
09182111;      Bad Wiessee;1794;1786;1810;1800;1833;1823
09182112;      Bayrischzell;370;376;397;420;411;427
09182114;      Fischbachau;705;698;715;741;744;763
09182116;      Gmund a.Tegernsee;1989;2127;2219;2311;2380;2451
09182119;      Hausham;2225;2220;2292;2352;2431;2473
09182120;      Holzkirchen, M;6728;6850;7191;7638;8030;7943
09182123;      Irschenberg;881;1012;1020;1057;1096;1128
09182124;      Kreuth;715;745;779;831;820;817
09182125;      Miesbach, St;4455;4540;4726;4747;4839;4988
09182127;      Otterfing;936;948;981;990;1093;1214
09182129;      Rottach-Egern;2068;2075;2073;2144;2207;2244
09182131;      Schliersee, M;1505;1527;1552;1590;1605;1662
09182132;      Tegernsee, St;1491;1523;1489;1542;1499;1610
09182133;      Valley;963;991;1029;1067;1087;1122
09182134;      Waakirchen;989;1008;1017;1101;1132;1156
09182136;      Warngau;857;921;1017;1053;1139;1206
09182137;      Weyarn;621;649;698;749;806;832
09183;    Mühldorf a.Inn (Lkr);33250;34441;35298;36021;36951;38546
09183112;      Ampfing;2014;2022;2027;2028;2097;2141
09183113;      Aschau a.Inn;2506;2497;2483;2519;2572;2656
09183114;      Buchbach, M;1064;1107;1196;1229;1314;1403
09183115;      Egglkofen;136;163;155;211;160;159
09183116;      Erharting;224;238;294;289;413;584
09183118;      Gars a.Inn, M;775;763;769;805;803;799
09183119;      Haag i.OB, M;1749;1836;1875;1921;2069;2166
09183120;      Heldenstein;365;360;356;345;425;435
09183122;      Jettenbach;66;.;66;64;69;40
09183123;      Kirchdorf;897;.;954;827;750;730
09183124;      Kraiburg a.Inn, M;572;582;591;616;619;637
09183125;      Lohkirchen;73;84;82;97;101;104
09183126;      Maitenbeth;203;217;229;232;242;265
09183127;      Mettenheim;218;237;271;301;468;486
09183128;      Mühldorf a.Inn, St;9578;9989;10498;10996;10958;11320
09183129;      Neumarkt-Sankt Veit, St;1217;1224;1157;1164;1204;1337
09183130;      Niederbergkirchen;93;104;101;95;92;97
09183131;      Niedertaufkirchen;101;98;101;105;108;120
09183132;      Oberbergkirchen;139;148;154;158;176;189
09183134;      Oberneukirchen;98;101;99;102;114;118
09183135;      Obertaufkirchen;361;361;361;369;370;427
09183136;      Polling;1273;1339;1329;1297;1272;1222
09183138;      Rattenkirchen;125;130;122;137;144;155
09183139;      Rechtmehring;292;310;324;348;377;377
09183140;      Reichertsheim;252;262;269;248;325;345
09183143;      Schönberg;81;82;97;98;101;102
09183144;      Schwindegg;767;800;827;828;834;946
09183145;      Taufkirchen;181;192;190;201;190;192
09183147;      Unterreit;274;287;265;285;287;314
09183148;      Waldkraiburg, St;7411;7663;7886;7949;8130;8514
09183151;      Zangberg;145;164;170;157;167;166
09183444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09184;    München (Lkr);183050;189951;195597;202657;210772;217750
09184112;      Aschheim;10535;10971;11859;12050;11591;12417
09184113;      Baierbrunn;1204;1230;1296;1309;1240;1305
09184114;      Brunnthal;1847;2120;2117;2315;2306;2437
09184118;      Feldkirchen;5424;5478;5909;6448;7227;7424
09184119;      Garching b.München, St;15516;17312;17887;18808;21051;22460
09184120;      Gräfelfing;5777;6636;7061;7422;7914;8089
09184121;      Grasbrunn;3775;3689;3794;3932;3743;3789
09184122;      Grünwald;6369;6350;6521;6742;6928;7232
09184123;      Haar;9227;9098;9200;9001;8932;8853
09184127;      Höhenkirchen-Siegertsbrunn;1194;1249;1277;1330;1374;1368
09184129;      Hohenbrunn;3042;2988;2922;3190;3437;3536
09184130;      Ismaning;13206;13409;13704;14369;14551;14763
09184131;      Kirchheim b.München;6888;7458;7390;7263;7343;7337
09184132;      Neuried;1550;1667;1710;1790;1974;2127
09184134;      Oberhaching;5685;5892;6037;6039;6391;6635
09184135;      Oberschleißheim;5474;5728;5666;5822;6121;6523
09184136;      Ottobrunn;8807;8827;8748;8810;9427;9801
09184137;      Aying;1104;1194;1228;1272;1264;1284
09184138;      Planegg;9358;9666;9910;10278;10587;10946
09184139;      Pullach i.Isartal;7239;7574;7832;8206;8396;8314
09184140;      Putzbrunn;2789;2833;2845;2926;3119;3180
09184141;      Sauerlach;2059;2160;2262;2397;2359;2448
09184142;      Schäftlarn;1009;929;961;1031;1082;1048
09184144;      Straßlach-Dingharting;505;582;538;564;580;561
09184145;      Taufkirchen;4761;4535;4717;5195;6053;7548
09184146;      Neubiberg;7417;7747;8065;8505;9012;9513
09184147;      Unterföhring;18252;18935;20054;21688;21966;22476
09184148;      Unterhaching;7281;7711;7691;7428;7710;8174
09184149;      Unterschleißheim, St;15756;15983;16396;16527;17094;16162
09184444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09185;    Neuburg-Schrobenhausen (Lkr);28610;29189;29764;30306;30966;31916
09185113;      Aresing;238;240;289;553;572;588
09185116;      Berg im Gau;278;350;341;357;386;418
09185118;      Bergheim;109;110;105;95;92;89
09185123;      Brunnen;219;220;230;237;247;251
09185125;      Burgheim, M;1027;1028;1079;1106;1150;1259
09185127;      Ehekirchen;637;645;647;649;672;614
09185131;      Gachenbach;301;296;316;409;439;441
09185139;      Karlshuld;769;770;733;744;714;728
09185140;      Karlskron;1735;1759;1862;1866;1906;2067
09185143;      Langenmosen;362;306;301;331;331;332
09185149;      Neuburg a.d.Donau, GKSt;12347;12329;12645;12830;13042;13570
09185150;      Oberhausen;737;701;690;661;707;600
09185153;      Rennertshofen, M;606;640;646;679;724;739
09185157;      Rohrenfels;330;347;333;331;319;334
09185158;      Schrobenhausen, St;7990;8495;8544;8431;8589;8756
09185163;      Königsmoos;424;438;480;483;497;528
09185166;      Waidhofen;290;288;299;313;330;336
09185168;      Weichering;211;227;224;231;249;266
09186;    Pfaffenhofen a.d.Ilm (Lkr);32448;34162;35279;36128;36939;38155
09186113;      Baar-Ebenhausen;1000;1006;1038;1037;1006;1113
09186116;      Ernsgaden;153;233;210;217;226;240
