;;Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS)
;;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung
;;Insgesamt;Wohnen;Gewerbe, Industrie;sonstige Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Abbauland;Grünanlage;sonstige Erholungsfläche;Straße, Weg, Platz;sonstige Verkehrsfläche;Moor;Heide;Landwirtschaftsfläche (ohne Moor, Heide);Waldfläche;Wasserfläche;Unland;Friedhof;Flächen anderer Nutzung (ohne Unland, Friedhof)
;;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar
09173135;      Lenggries;2429047;18365;2190;12151;808;2187;321;1518;32775;617;5101;7117;358989;1712400;88491;185857;160;-
09173137;      Münsing;522296;14994;1198;9552;294;497;3945;1774;23048;-;4532;-;200906;254631;4414;2392;119;-
09173140;      Reichersbeuern;154017;4118;698;2692;1302;1392;142;76;4928;332;2141;-;58779;73386;968;2982;81;-
09173141;      Sachsenkam;159313;2402;399;2363;84;51;69;233;4615;-;21538;231;61065;59721;5944;567;31;-
09173142;      Schlehdorf;253902;2796;26;3018;53;204;90;669;3897;-;550;-;85182;125916;21164;10300;37;-
09173145;      Wackersberg;648322;6000;616;8019;98;1216;229;3605;12820;-;10555;-;270140;324077;5267;5630;50;-
09173147;      Wolfratshausen, St;91327;21382;4644;6533;843;-;483;5268;8596;922;-;-;17155;21306;2439;1383;373;-
09173444;      Gemeindefreie Gebiete;80064;16;-;20;25;-;6;-;825;-;-;-;4;64748;10400;4020;-;-
09174;    Dachau (Lkr);5791757;199408;29061;183265;20815;8225;21253;48737;244393;16646;400;-;3797460;1029787;54039;132790;5478;-
09174111;      Altomünster, M;756563;15942;1304;18843;1996;1494;292;1662;25061;427;-;-;513874;155965;2580;16905;218;-
09174113;      Bergkirchen;599666;14531;4150;19782;1582;601;2733;14011;28690;1658;-;-;394991;89541;10156;17040;200;-
09174115;      Dachau, GKSt;349609;41642;10596;29925;1067;1616;7367;5646;28951;2528;-;-;165282;35866;5674;11230;2219;-
09174118;      Erdweg;360597;11177;708;9326;358;1077;147;730;13571;717;-;-;221728;91167;2035;7669;187;-
09174121;      Haimhausen;269263;8631;544;6521;1434;-;905;1003;9012;-;-;-;178116;52222;5580;5182;113;-
09174122;      Hebertshausen;295713;9318;1377;8786;483;549;630;1279;11192;1695;-;-;216145;27582;7699;8785;193;-
09174126;      Karlsfeld;156026;18398;3288;7167;1147;203;6882;1232;12055;1619;-;-;82636;9214;7023;4860;302;-
